Latitude,Longitude,Location_Type
47.597222,-122.319722,suburban
47.568236,-122.308628,rural
47.16,-122.58,urban
47.16,-122.48,suburban
47.16,-122.38,urban
47.16,-122.28000000000002,urban
47.16,-122.18000000000002,suburban
47.16,-122.08000000000004,rural
47.16,-121.98000000000005,urban
47.16,-121.88000000000004,urban
47.16,-121.78000000000004,urban
47.16,-121.68000000000004,rural
47.16,-121.58000000000006,suburban
47.16,-121.48000000000006,urban
47.16,-121.38000000000008,rural
47.16,-121.28000000000009,urban
47.16,-121.18000000000008,urban
47.16,-121.08000000000008,rural
47.16,-120.98000000000008,suburban
47.26,-122.58,urban
47.26,-122.48,suburban
47.26,-122.38,urban
47.26,-122.28000000000002,rural
47.26,-122.18000000000002,suburban
47.26,-122.08000000000004,suburban
47.26,-121.98000000000005,suburban
47.26,-121.88000000000004,urban
47.26,-121.78000000000004,rural
47.26,-121.68000000000004,suburban
47.26,-121.58000000000006,rural
47.26,-121.48000000000006,rural
47.26,-121.38000000000008,suburban
47.26,-121.28000000000009,rural
47.26,-121.18000000000008,rural
47.26,-121.08000000000008,urban
47.26,-120.98000000000008,urban
47.36,-122.58,urban
47.36,-122.48,suburban
47.36,-122.38,suburban
47.36,-122.28000000000002,urban
47.36,-122.18000000000002,urban
47.36,-122.08000000000004,urban
47.36,-121.98000000000005,suburban
47.36,-121.88000000000004,suburban
47.36,-121.78000000000004,suburban
47.36,-121.68000000000004,urban
47.36,-121.58000000000006,suburban
47.36,-121.48000000000006,urban
47.36,-121.38000000000008,urban
47.36,-121.28000000000009,suburban
47.36,-121.18000000000008,rural
47.36,-121.08000000000008,rural
47.36,-120.98000000000008,urban
47.46,-122.58,urban
47.46,-122.48,rural
47.46,-122.38,urban
47.46,-122.28000000000002,suburban
47.46,-122.18000000000002,rural
47.46,-122.08000000000004,suburban
47.46,-121.98000000000005,urban
47.46,-121.88000000000004,suburban
47.46,-121.78000000000004,suburban
47.46,-121.68000000000004,urban
47.46,-121.58000000000006,urban
47.46,-121.48000000000006,rural
47.46,-121.38000000000008,suburban
47.46,-121.28000000000009,rural
47.46,-121.18000000000008,rural
47.46,-121.08000000000008,rural
47.46,-120.98000000000008,rural
47.56,-122.58,urban
47.56,-122.48,suburban
47.56,-122.38,suburban
47.56,-122.28000000000002,rural
47.56,-122.18000000000002,urban
47.56,-122.08000000000004,rural
47.56,-121.98000000000005,suburban
47.56,-121.88000000000004,urban
47.56,-121.78000000000004,suburban
47.56,-121.68000000000004,suburban
47.56,-121.58000000000006,urban
47.56,-121.48000000000006,suburban
47.56,-121.38000000000008,rural
47.56,-121.28000000000009,urban
47.56,-121.18000000000008,rural
47.56,-121.08000000000008,suburban
47.56,-120.98000000000008,suburban
47.66,-122.58,suburban
47.66,-122.48,suburban
47.66,-122.38,suburban
47.66,-122.28000000000002,rural
47.66,-122.18000000000002,suburban
47.66,-122.08000000000004,urban
47.66,-121.98000000000005,urban
47.66,-121.88000000000004,urban
47.66,-121.78000000000004,suburban
47.66,-121.68000000000004,urban
47.66,-121.58000000000006,urban
47.66,-121.48000000000006,suburban
47.66,-121.38000000000008,rural
47.66,-121.28000000000009,rural
47.66,-121.18000000000008,suburban
47.66,-121.08000000000008,rural
47.66,-120.98000000000008,suburban
47.760000000000005,-122.58,suburban
47.760000000000005,-122.48,suburban
47.760000000000005,-122.38,rural
47.760000000000005,-122.28000000000002,rural
47.760000000000005,-122.18000000000002,suburban
47.760000000000005,-122.08000000000004,rural
47.760000000000005,-121.98000000000005,rural
47.760000000000005,-121.88000000000004,rural
47.760000000000005,-121.78000000000004,rural
47.760000000000005,-121.68000000000004,suburban
47.760000000000005,-121.58000000000006,rural
47.760000000000005,-121.48000000000006,rural
47.760000000000005,-121.38000000000008,rural
47.760000000000005,-121.28000000000009,suburban
47.760000000000005,-121.18000000000008,suburban
47.760000000000005,-121.08000000000008,rural
47.760000000000005,-120.98000000000008,urban
47.86000000000001,-122.58,rural
47.86000000000001,-122.48,rural
47.86000000000001,-122.38,rural
47.86000000000001,-122.28000000000002,suburban
47.86000000000001,-122.18000000000002,suburban
47.86000000000001,-122.08000000000004,urban
47.86000000000001,-121.98000000000005,rural
47.86000000000001,-121.88000000000004,rural
47.86000000000001,-121.78000000000004,suburban
47.86000000000001,-121.68000000000004,rural
47.86000000000001,-121.58000000000006,rural
47.86000000000001,-121.48000000000006,rural
47.86000000000001,-121.38000000000008,rural
47.86000000000001,-121.28000000000009,suburban
47.86000000000001,-121.18000000000008,rural
47.86000000000001,-121.08000000000008,rural
47.86000000000001,-120.98000000000008,urban
47.96000000000001,-122.58,rural
47.96000000000001,-122.48,urban
47.96000000000001,-122.38,rural
47.96000000000001,-122.28000000000002,urban
47.96000000000001,-122.18000000000002,urban
47.96000000000001,-122.08000000000004,suburban
47.96000000000001,-121.98000000000005,suburban
47.96000000000001,-121.88000000000004,rural
47.96000000000001,-121.78000000000004,suburban
47.96000000000001,-121.68000000000004,rural
47.96000000000001,-121.58000000000006,suburban
47.96000000000001,-121.48000000000006,urban
47.96000000000001,-121.38000000000008,urban
47.96000000000001,-121.28000000000009,rural
47.96000000000001,-121.18000000000008,suburban
47.96000000000001,-121.08000000000008,rural
47.96000000000001,-120.98000000000008,urban
